,game_id,season,neutral_site,scheduled_date,gametime,tournament,tournament_type,tournament_round,tournament_game_no,player_id,last_name,first_name,full_name,abbr_name,status,jersey_number,height,weight,birth_place,birthplace_city,birthplace_state,birthplace_country,class,team_name,team_market,team_id,team_alias,conf_name,conf_alias,division_name,division_alias,league_name,home_team,active,played,starter,minutes,minutes_int64,position,primary_position,field_goals_made,field_goals_att,field_goals_pct,three_points_made,three_points_att,three_points_pct,two_points_made,two_points_att,two_points_pct,blocked_att,free_throws_made,free_throws_att,free_throws_pct,offensive_rebounds,defensive_rebounds,rebounds,assists,turnovers,steals,blocks,assists_turnover_ratio,personal_fouls,tech_fouls,flagrant_fouls,points,sp_created
0,14ab9c26-b586-4f68-8989-f433bb3a3e7f,2017,False,2017-11-22,2017-11-22 00:00:00+00:00,,,,,b8df0122-7f1e-4189-a47b-1e08050bf6c6,Mersch,Nick,Nick Mersch,,,41.0,,,,,,,,,,0496c4c9-37a7-48db-ae81-c42eeb2de5fc,,,,,,,False,True,False,False,,,F,NA,,,,,,,,,,,,,,,,,,,,,,,,,,2018-02-20 13:03:24+00:00
1,64667cdd-9379-4ecc-877a-3fb4d76fbff2,2017,False,2017-12-19,2017-12-19 01:00:00+00:00,,,,,2036297a-f0e1-4d65-8cc2-94d3d4de314f,Weber,Ben,Ben Weber,,,40.0,,,,,,,,,,3572adb4-ffa8-4eb7-a74d-c154831ab1ef,,,,,,,False,True,False,False,,,G,NA,,,,,,,,,,,,,,,,,,,,,,,,,,2018-02-20 13:03:27+00:00
2,fcc2decd-b14f-4fed-8a78-8856c6689c74,2017,False,2017-11-12,2017-11-12 18:00:00+00:00,,,,,c367fd91-183a-4d7d-9307-b8a289cb7bc9,Nascimento,Robert,Robert Nascimento,,,50.0,,,,,,,,,,dbd3591c-a49c-49da-ab52-a364a1b2e032,,,,,,,False,True,False,False,,,F-C,NA,,,,,,,,,,,,,,,,,,,,,,,,,,2018-02-20 13:03:23+00:00
3,7cda8dca-e87b-4b4e-9eed-68cfba948957,2017,False,2017-11-26,2017-11-26 21:30:00+00:00,,,,,0ca3800d-fb89-4151-90c0-a3e03835fd04,Wilson-Poston,Chris,Chris Wilson-Poston,,,,,,,,,,,,,3572adb4-ffa8-4eb7-a74d-c154831ab1ef,,,,,,,False,True,False,False,,,F,NA,,,,,,,,,,,,,,,,,,,,,,,,,,2018-02-20 13:03:26+00:00
4,b3b15b00-c5a6-4239-9c99-713ebe01b8c7,2017,False,2018-01-24,2018-01-24 01:00:00+00:00,,,,,269dc916-2208-40e2-a5ee-062a38a3a00d,Gray,Jordan,Jordan Gray,,,22.0,,,,,,,,,,61b1208b-044c-45b5-852e-0b8c737c23f4,,,,,,,False,True,False,False,,,G,NA,,,,,,,,,,,,,,,,,,,,,,,,,,2018-02-20 13:03:21+00:00
5,f4eba6ed-6136-4376-9427-aeea881048a1,2017,False,2017-11-28,2017-11-28 00:00:00+00:00,,,,,9a1e0867-b818-4509-993e-80a6fc4e4033,Fuller,Malik,Malik Fuller,,,33.0,,,,,,,,,,ab572b3c-6857-4a5b-944d-ffa82c1cc021,,,,,,,False,True,False,False,,,G,NA,,,,,,,,,,,,,,,,,,,,,,,,,,2018-02-20 13:03:22+00:00
6,fcc2decd-b14f-4fed-8a78-8856c6689c74,2017,False,2017-11-12,2017-11-12 18:00:00+00:00,,,,,4023a381-9453-4d80-8a10-d7e480b79670,Morgan,James,James Morgan,,,32.0,,,,,,,,,,dbd3591c-a49c-49da-ab52-a364a1b2e032,,,,,,,False,True,False,False,,,G,NA,,,,,,,,,,,,,,,,,,,,,,,,,,2018-02-20 13:03:23+00:00
7,5aff9963-c223-4362-8a92-108dffeca2c9,2017,False,2017-11-11,2017-11-11 01:30:00+00:00,,,,,1c83df5d-7e42-4a47-bb9a-f36128940492,Atilola,Akeem,Akeem Atilola,,,50.0,,,,,,,,,,bdf7405d-66c0-4b2d-9764-d7152c264eaa,,,,,,,False,True,False,False,,,C,NA,,,,,,,,,,,,,,,,,,,,,,,,,,2018-02-20 13:03:22+00:00
8,998aa225-6303-488e-bd48-a4b07e1436c0,2017,False,2017-12-16,2017-12-16 03:00:00+00:00,,,,,42a9ef5d-7600-4dd2-b4dd-10692371eaf2,Miller,Graham,Graham Miller,,,15.0,,,,,,,,,,bbee8201-c65b-4a75-abff-a689b4701df4,,,,,,,False,True,False,False,,,G-F,NA,,,,,,,,,,,,,,,,,,,,,,,,,,2018-02-20 13:03:26+00:00
9,77037c06-bc2d-4207-b8e5-5f434adaf3cd,2017,False,2017-11-11,2017-11-11 02:00:00+00:00,,,,,cc87dda4-9551-478e-a4ec-6cc01bc92c13,Vargas,Kea,Kea Vargas,,,24.0,,,,,,,,,,ae44bb22-e830-4e49-a5b4-525505807672,,,,,,,False,True,False,False,,,G,NA,,,,,,,,,,,,,,,,,,,,,,,,,,2018-02-20 13:03:22+00:00
